name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Kareem Abdul-Jabbar,CENTER,32,LOS ANGELES LAKERS,82,0,3143,835,1383,0,1,364,476,190,696,371,81,280,297,216,2034
Tom Abernethy,POWER FORWARD,25,GOLDEN STATE WARRIORS,67,0,1222,153,318,0,1,56,82,62,129,87,35,12,39,118,362
Alvan Adams,CENTER,25,PHOENIX SUNS,75,0,2168,465,875,0,2,188,236,158,451,322,108,55,218,237,1118
Tiny Archibald,POINT GUARD,31,BOSTON CELTICS,80,80,2864,383,794,4,18,361,435,59,138,671,106,10,242,218,1131
Dennis Awtrey,CENTER,31,CHICAGO BULLS,26,6,560,27,60,0,0,32,50,29,86,40,12,15,27,66,86
Gus Bailey,SHOOTING GUARD,28,WASHINGTON BULLETS,20,0,180,16,35,1,1,5,13,6,22,26,7,4,11,18,38
James Bailey,POWER FORWARD,22,SEATTLE SUPERSONICS,67,0,726,122,271,0,0,68,101,71,126,28,21,54,79,116,312
Greg Ballard,SMALL FORWARD,25,WASHINGTON BULLETS,82,0,2438,545,1101,16,47,171,227,240,398,159,90,36,133,197,1277
Mike Bantom,SMALL FORWARD,28,INDIANA PACERS,77,0,2330,384,760,1,3,139,209,192,264,279,85,49,189,268,908
Marvin Barnes,POWER FORWARD,27,,20,0,287,24,60,0,0,16,32,34,43,18,5,12,18,52,64
Rick Barry,SMALL FORWARD,35,HOUSTON ROCKETS,72,0,1816,325,771,73,221,143,153,53,183,268,80,28,152,182,866
Tim Bassett,POWER FORWARD,28,NEW JERSEY NETS,7,0,92,8,22,0,0,8,12,7,11,4,5,0,4,14,24
Tim Bassett,POWER FORWARD,28,SAN ANTONIO SPURS,5,0,72,4,12,0,0,2,3,4,11,10,3,0,5,13,10
Billy Ray Bates,SHOOTING GUARD,23,PORTLAND TRAIL BLAZERS,16,0,235,72,146,8,19,28,39,13,16,31,14,2,20,26,180
Ron Behagen,POWER FORWARD,29,WASHINGTON BULLETS,6,0,64,9,23,0,0,5,6,6,8,7,0,4,4,14,23
Kent Benson,CENTER,25,MILWAUKEE BUCKS,56,0,1389,213,431,0,1,66,97,96,237,127,54,74,106,178,492
Kent Benson,CENTER,25,DETROIT PISTONS,17,0,502,86,187,1,4,33,44,30,90,51,19,18,51,68,206
Del Beshore,POINT GUARD,23,CHICAGO BULLS,68,0,869,88,250,10,26,58,87,16,47,139,58,5,104,105,244
Henry Bibby,POINT GUARD,30,PHILADELPHIA 76ERS,82,8,2035,251,626,11,52,226,286,65,143,307,62,6,147,161,739
Larry Bird,POWER FORWARD,23,BOSTON CELTICS,82,82,2955,693,1463,58,143,301,360,216,636,370,143,53,263,279,1745
Otis Birdsong,SHOOTING GUARD,24,KANSAS CITY KINGS,82,0,2885,781,1546,10,36,286,412,170,161,202,136,22,179,226,1858
Ron Boone,SHOOTING GUARD,33,LOS ANGELES LAKERS,6,0,106,14,40,0,0,6,7,4,7,7,5,0,13,13,34
Ron Boone,SHOOTING GUARD,33,UTAH JAZZ,75,0,2286,391,875,19,50,169,189,50,166,302,92,3,184,219,970
Lawrence Boston,POWER FORWARD,23,WASHINGTON BULLETS,13,0,125,24,52,0,0,8,13,19,20,2,4,2,8,25,56
Tom Boswell,POWER FORWARD,26,DENVER NUGGETS,18,0,522,72,135,1,2,58,70,40,74,46,5,8,39,56,203
Tom Boswell,POWER FORWARD,26,UTAH JAZZ,61,0,1555,274,478,4,8,148,203,106,222,115,24,29,142,214,700
Winford Boynes,SHOOTING GUARD,22,NEW JERSEY NETS,64,0,1102,221,467,0,4,104,136,51,82,95,59,19,96,132,546
Alonzo Bradley,SMALL FORWARD,26,HOUSTON ROCKETS,22,0,96,17,48,1,1,6,9,2,4,3,3,0,8,9,41
Dudley Bradley,SHOOTING GUARD,22,INDIANA PACERS,82,0,2027,275,609,2,5,136,174,69,154,252,211,48,166,194,688
Mike Bratz,POINT GUARD,24,PHOENIX SUNS,82,0,1589,269,687,21,86,141,162,50,117,223,93,9,135,165,700
Jim Brewer,POWER FORWARD,28,PORTLAND TRAIL BLAZERS,67,0,1016,90,184,0,5,14,29,101,156,75,42,43,47,129,194
Ron Brewer,SHOOTING GUARD,24,PORTLAND TRAIL BLAZERS,82,82,2815,548,1182,6,32,184,219,54,160,216,98,48,167,154,1286
Junior Bridgeman,SMALL FORWARD,26,MILWAUKEE BUCKS,81,0,2316,594,1243,5,27,230,266,104,197,237,94,20,172,216,1423
Allan Bristow,SMALL FORWARD,28,UTAH JAZZ,82,0,2304,377,785,2,7,197,243,170,342,341,88,6,179,211,953
Fred Brown,SHOOTING GUARD,31,SEATTLE SUPERSONICS,80,0,1701,404,843,39,88,113,135,35,120,174,65,17,105,117,960
John Brown,SMALL FORWARD,28,UTAH JAZZ,4,0,24,0,7,0,0,4,4,5,4,4,0,0,5,4,4
John Brown,SMALL FORWARD,28,ATLANTA HAWKS,28,0,361,37,98,0,0,34,44,21,41,14,3,4,24,66,108
Roger Brown,CENTER,29,CHICAGO BULLS,4,0,37,1,3,0,0,0,0,2,8,1,0,3,0,4,2
Joe Bryant,POWER FORWARD,25,,81,0,2328,294,682,5,34,161,217,171,345,144,102,39,170,258,754
Quinn Buckner,POINT GUARD,25,MILWAUKEE BUCKS,67,0,1690,306,655,2,5,105,143,69,169,383,135,4,149,202,719
Tom Burleson,CENTER,27,KANSAS CITY KINGS,37,0,272,36,104,0,3,23,40,23,49,20,8,13,25,49,95
Don Buse,POINT GUARD,29,PHOENIX SUNS,81,0,2499,261,589,19,79,85,128,70,163,320,132,10,91,111,626
Marty Byrnes,SMALL FORWARD,23,LOS ANGELES LAKERS,32,0,194,25,50,0,0,13,15,9,18,13,5,1,22,32,63
Corky Calhoun,SMALL FORWARD,29,INDIANA PACERS,7,0,30,4,9,0,0,0,2,7,3,0,2,0,1,6,8
Mack Calvin,POINT GUARD,32,UTAH JAZZ,48,0,772,100,227,1,11,105,117,13,71,134,27,0,57,72,306
Austin Carr,SHOOTING GUARD,31,CLEVELAND CAVALIERS,77,0,1595,390,839,2,6,127,172,81,84,150,39,3,108,120,909
Kenny Carr,POWER FORWARD,24,LOS ANGELES LAKERS,5,0,57,7,16,0,0,2,2,5,12,1,2,1,9,6,16
Kenny Carr,POWER FORWARD,24,CLEVELAND CAVALIERS,74,0,1781,371,752,0,4,171,261,194,377,76,64,51,145,240,913
M.L. Carr,SMALL FORWARD,29,BOSTON CELTICS,82,7,1994,362,763,12,41,178,241,106,224,156,120,36,143,214,914
Bob Carrington,SHOOTING GUARD,26,,10,0,134,15,37,0,2,6,8,6,7,3,4,1,5,18,36
Ron Carter,SHOOTING GUARD,23,INDIANA PACERS,13,0,117,15,37,0,0,2,7,5,14,9,2,3,10,19,32
Bill Cartwright,CENTER,22,NEW YORK KNICKS,82,82,3150,665,1215,0,0,451,566,194,532,165,48,101,222,279,1781
Harvey Catchings,CENTER,28,MILWAUKEE BUCKS,72,0,1366,97,244,0,1,39,62,164,246,82,23,162,68,191,233
Don Chaney,SHOOTING GUARD,33,BOSTON CELTICS,60,0,523,67,189,1,6,32,42,31,42,38,31,11,33,80,167
Maurice Cheeks,POINT GUARD,23,PHILADELPHIA 76ERS,79,79,2623,357,661,4,9,180,231,75,199,556,183,32,216,197,898
Phil Chenier,SHOOTING GUARD,29,WASHINGTON BULLETS,20,0,470,84,214,3,6,31,41,10,33,42,18,5,29,26,202
Phil Chenier,SHOOTING GUARD,29,INDIANA PACERS,23,0,380,52,135,2,6,18,26,9,26,47,15,10,26,29,124
Jim Chones,CENTER,30,LOS ANGELES LAKERS,82,0,2394,372,760,0,2,125,169,143,421,151,56,65,175,271,869
Jim Cleamons,POINT GUARD,30,NEW YORK KNICKS,22,0,254,30,69,3,8,12,15,10,9,40,13,2,17,13,75
Jim Cleamons,POINT GUARD,30,WASHINGTON BULLETS,57,0,1535,184,381,4,23,72,98,43,90,248,44,9,92,120,444
Doug Collins,SHOOTING GUARD,28,PHILADELPHIA 76ERS,36,17,963,191,410,0,1,113,124,29,65,100,30,7,82,76,495
Jeff Cook,POWER FORWARD,23,PHOENIX SUNS,66,0,904,129,275,0,3,104,129,90,151,84,28,18,71,102,362
Michael Cooper,SHOOTING GUARD,23,LOS ANGELES LAKERS,82,0,1973,303,578,5,20,111,143,101,128,221,86,38,142,215,722
Wayne Cooper,POWER FORWARD,23,GOLDEN STATE WARRIORS,79,0,1781,367,750,1,4,136,181,202,305,42,20,79,140,246,871
Hollis Copeland,SMALL FORWARD,24,NEW YORK KNICKS,75,1,1142,182,368,0,2,63,86,70,86,80,61,25,84,154,427
Dave Corzine,CENTER,23,WASHINGTON BULLETS,78,0,826,90,216,0,0,45,68,104,166,63,9,31,60,120,225
John Coughran,SMALL FORWARD,28,GOLDEN STATE WARRIORS,24,0,160,29,81,2,9,8,14,2,17,12,7,1,13,24,68
Dave Cowens,CENTER,31,BOSTON CELTICS,66,55,2159,422,932,1,12,95,122,126,408,206,69,61,108,216,940
Charlie Criss,POINT GUARD,31,ATLANTA HAWKS,81,0,1794,249,578,1,17,172,212,27,89,246,74,4,130,133,671
Terry Crosby,POINT GUARD,23,KANSAS CITY KINGS,4,0,28,2,4,0,0,2,2,0,1,7,0,0,5,4,6
Pat Cummings,CENTER,23,MILWAUKEE BUCKS,71,0,900,187,370,0,0,94,123,81,157,53,22,17,74,141,468
Bob Dandridge,SMALL FORWARD,32,WASHINGTON BULLETS,45,0,1457,329,729,2,11,123,152,63,183,178,29,36,123,112,783
Adrian Dantley,SMALL FORWARD,24,UTAH JAZZ,68,0,2674,730,1267,0,2,443,526,183,333,191,96,14,233,211,1903
Brad Davis,POINT GUARD,24,INDIANA PACERS,5,0,43,2,7,0,0,3,4,0,2,5,3,0,3,7,7
Brad Davis,POINT GUARD,24,UTAH JAZZ,13,0,225,33,56,0,1,10,12,4,11,45,10,1,11,21,76
Harry Davis,SMALL FORWARD,24,SAN ANTONIO SPURS,4,0,30,6,12,0,0,1,2,2,4,0,1,0,3,8,13
Johnny Davis,POINT GUARD,24,INDIANA PACERS,82,82,2912,496,1159,4,42,304,352,102,124,440,110,23,202,178,1300
Walter Davis,SMALL FORWARD,25,PHOENIX SUNS,75,0,2309,657,1166,0,4,299,365,75,197,337,114,19,242,202,1613
Darryl Dawkins,CENTER,23,PHILADELPHIA 76ERS,80,80,2541,494,946,0,6,190,291,197,496,149,49,142,230,328,1178
Paul Dawkins,SMALL FORWARD,22,UTAH JAZZ,57,0,776,141,300,1,5,33,48,42,83,77,33,9,76,112,316
Greg Deane,SHOOTING GUARD,22,UTAH JAZZ,7,0,48,2,11,1,1,5,7,2,4,6,0,0,3,3,10
Larry Demic,POWER FORWARD,22,NEW YORK KNICKS,82,51,1872,230,528,0,0,110,183,195,288,64,56,30,168,306,570
Coby Dietrick,CENTER,31,CHICAGO BULLS,79,40,1830,227,500,1,9,90,118,101,262,216,89,51,112,230,545
Leon Douglas,CENTER,25,DETROIT PISTONS,70,0,1782,221,455,0,1,125,185,171,330,121,30,62,127,249,567
John Drew,SMALL FORWARD,25,ATLANTA HAWKS,80,0,2306,535,1182,0,7,489,646,203,268,101,91,23,240,313,1559
Terry Duerod,SHOOTING GUARD,23,DETROIT PISTONS,67,0,1331,282,598,15,53,45,66,29,69,117,41,11,79,102,624
Mike Dunleavy,POINT GUARD,25,HOUSTON ROCKETS,51,0,1036,148,319,3,20,111,134,26,74,210,40,4,110,120,410
T.R. Dunn,SHOOTING GUARD,24,PORTLAND TRAIL BLAZERS,82,0,1841,240,551,0,3,84,111,132,192,147,102,31,91,145,564
James Edwards,CENTER,24,INDIANA PACERS,82,82,2314,528,1032,0,1,231,339,179,399,127,55,104,131,324,1287
Bob Elliott,POWER FORWARD,24,NEW JERSEY NETS,54,0,722,101,228,1,4,104,152,67,118,53,29,14,88,97,307
Bo Ellis,POWER FORWARD,25,DENVER NUGGETS,48,0,502,61,136,0,3,40,53,51,65,30,10,24,24,67,162
Len Elmore,CENTER,27,KANSAS CITY KINGS,58,0,915,104,242,0,0,51,74,74,183,64,41,39,67,154,259
Alex English,SMALL FORWARD,26,INDIANA PACERS,54,0,1526,346,686,0,3,114,140,167,213,142,45,33,124,128,806
Alex English,SMALL FORWARD,26,DENVER NUGGETS,24,0,875,207,427,2,3,96,126,102,123,82,28,29,90,78,512
Julius Erving,SMALL FORWARD,29,PHILADELPHIA 76ERS,78,78,2812,838,1614,4,20,420,534,215,361,355,170,140,284,208,2100
Earl Evans,POWER FORWARD,24,DETROIT PISTONS,36,0,381,63,140,7,18,24,42,26,49,37,14,1,36,64,157
Mike Evans,SHOOTING GUARD,24,SAN ANTONIO SPURS,79,0,1246,208,464,12,42,58,85,29,78,230,60,9,128,194,486
Eric Fernsten,POWER FORWARD,26,BOSTON CELTICS,56,0,431,71,153,0,0,33,52,40,56,28,17,12,20,43,175
Chris Ford,SHOOTING GUARD,31,BOSTON CELTICS,73,73,2115,330,709,70,164,86,114,77,104,215,111,27,105,178,816
Don Ford,SMALL FORWARD,27,LOS ANGELES LAKERS,52,0,580,66,130,0,1,23,28,23,75,36,11,15,30,86,155
Don Ford,SMALL FORWARD,27,CLEVELAND CAVALIERS,21,0,419,65,144,1,2,22,25,21,66,29,11,6,21,45,153
Phil Ford,POINT GUARD,23,KANSAS CITY KINGS,82,82,2621,489,1058,4,23,346,423,29,143,610,136,4,282,208,1328
Walt Frazier,POINT GUARD,34,CLEVELAND CAVALIERS,3,0,27,4,11,0,1,2,2,1,2,8,2,1,4,2,10
World B. Free,SHOOTING GUARD,26,,68,0,2585,737,1556,9,25,572,760,129,109,283,81,32,228,195,2055
Terry Furlow,SHOOTING GUARD,25,ATLANTA HAWKS,21,0,404,66,161,1,9,44,51,23,19,72,19,9,34,19,177
Terry Furlow,SHOOTING GUARD,25,UTAH JAZZ,55,0,1718,364,765,23,73,127,145,47,105,221,54,14,129,79,878
Mike Gale,POINT GUARD,29,SAN ANTONIO SPURS,67,0,1474,171,377,2,13,97,120,34,118,312,123,13,115,134,441
Gary Garland,POINT GUARD,22,DENVER NUGGETS,78,0,1106,155,356,6,19,18,26,50,88,145,54,4,73,80,334
Gus Gerard,SMALL FORWARD,26,KANSAS CITY KINGS,73,0,869,159,348,1,3,66,100,77,100,43,41,26,49,96,385
George Gervin,SHOOTING GUARD,27,SAN ANTONIO SPURS,78,0,2934,1024,1940,32,102,505,593,154,249,202,110,79,254,208,2585
John Gianelli,CENTER,29,UTAH JAZZ,17,0,285,23,66,0,0,9,16,14,48,17,6,7,22,26,55
Artis Gilmore,CENTER,30,CHICAGO BULLS,48,48,1568,305,513,0,0,245,344,108,324,133,29,59,133,167,855
Jack Givens,SMALL FORWARD,23,ATLANTA HAWKS,82,0,1254,182,473,0,2,106,128,114,128,59,51,19,59,132,470
Mike Glenn,SHOOTING GUARD,24,NEW YORK KNICKS,75,0,800,188,364,2,10,63,73,21,45,85,35,7,38,79,441
Glen Gondrezick,SMALL FORWARD,24,DENVER NUGGETS,59,0,1020,148,286,2,6,92,121,107,152,81,68,16,58,119,390
Mike Green,CENTER,28,KANSAS CITY KINGS,21,0,459,69,159,0,2,24,42,35,78,28,13,21,36,55,162
Dave Greenwood,POWER FORWARD,22,CHICAGO BULLS,82,82,2791,498,1051,1,7,337,416,223,550,182,60,129,210,313,1334
Kevin Grevey,SMALL FORWARD,26,WASHINGTON BULLETS,65,0,1818,331,804,34,92,216,249,80,107,177,56,16,102,158,912
Paul Griffin,CENTER,26,SAN ANTONIO SPURS,82,0,1812,173,313,0,0,174,240,154,284,250,81,53,131,306,520
Bob Gross,SMALL FORWARD,26,PORTLAND TRAIL BLAZERS,62,0,1581,221,472,1,10,95,114,84,165,228,60,47,166,179,538
Ernie Grunfeld,SMALL FORWARD,24,KANSAS CITY KINGS,80,0,1397,186,420,1,2,101,131,87,145,109,56,9,81,151,474
Roy Hamilton,POINT GUARD,22,DETROIT PISTONS,72,0,1116,115,287,0,2,103,150,45,62,192,48,5,118,82,333
James Hardy,POWER FORWARD,23,UTAH JAZZ,76,0,1600,184,363,1,2,51,66,124,275,104,47,87,105,207,420
Joe Hassett,SHOOTING GUARD,24,INDIANA PACERS,74,0,1135,215,509,69,198,24,29,35,59,104,46,8,45,85,523
Steve Hawes,POWER FORWARD,29,ATLANTA HAWKS,82,0,1853,304,605,3,8,150,182,148,348,144,74,29,121,205,761
Elvin Hayes,POWER FORWARD,34,WASHINGTON BULLETS,81,0,3183,761,1677,3,13,334,478,269,627,129,62,189,215,309,1859
Spencer Haywood,POWER FORWARD,30,LOS ANGELES LAKERS,76,0,1544,288,591,1,4,159,206,132,214,93,35,57,134,197,736
Gar Heard,POWER FORWARD,31,PHOENIX SUNS,82,0,1403,171,410,0,2,64,86,118,262,97,84,49,88,177,406
Gerald Henderson,POINT GUARD,24,BOSTON CELTICS,76,2,1061,191,382,2,6,89,129,37,46,147,45,15,109,96,473
Tom Henderson,POINT GUARD,28,HOUSTON ROCKETS,66,0,1551,154,323,0,2,56,77,34,77,274,55,4,102,107,364
Johnny High,POINT GUARD,22,PHOENIX SUNS,82,0,1121,144,323,1,7,120,178,69,104,119,71,15,123,172,409
Armond Hill,POINT GUARD,26,ATLANTA HAWKS,79,0,2092,177,431,1,4,124,146,31,107,424,107,8,171,261,479
Darnell Hillman,POWER FORWARD,30,GOLDEN STATE WARRIORS,49,0,708,82,179,0,0,34,68,59,121,47,21,24,59,128,198
Brad Holland,SHOOTING GUARD,23,LOS ANGELES LAKERS,38,0,197,44,104,3,15,15,16,4,13,22,15,1,13,24,106
Lionel Hollins,POINT GUARD,26,PORTLAND TRAIL BLAZERS,20,0,413,82,213,1,10,34,53,5,15,50,30,1,60,35,199
Lionel Hollins,SHOOTING GUARD,26,PHILADELPHIA 76ERS,27,26,796,130,313,2,10,67,87,24,45,112,46,9,68,68,329
Phil Hubbard,POWER FORWARD,23,DETROIT PISTONS,64,0,1189,210,451,0,2,165,220,114,206,70,48,10,120,202,585
Kim Hughes,CENTER,27,DENVER NUGGETS,70,0,1208,102,202,0,0,15,41,125,201,74,66,77,50,184,219
Geoff Huston,POINT GUARD,22,NEW YORK KNICKS,71,0,923,94,241,3,17,28,38,14,44,159,39,5,73,83,219
Dan Issel,CENTER,31,DENVER NUGGETS,82,82,2938,715,1416,4,12,517,667,236,483,198,88,54,163,190,1951
Phil Jackson,POWER FORWARD,34,NEW JERSEY NETS,16,0,194,29,46,0,2,7,10,12,12,12,5,4,9,35,65
Abdul Jeelani,SMALL FORWARD,25,PORTLAND TRAIL BLAZERS,77,0,1286,288,565,0,6,161,204,114,156,95,40,40,117,155,737
Cheese Johnson,SMALL FORWARD,22,GOLDEN STATE WARRIORS,9,0,53,12,30,0,0,3,5,6,8,2,1,0,4,11,27
Clemon Johnson,CENTER,23,INDIANA PACERS,79,0,1541,199,396,0,0,74,117,145,249,115,48,121,78,211,472
Dennis Johnson,SHOOTING GUARD,25,SEATTLE SUPERSONICS,81,0,2937,574,1361,12,58,380,487,173,241,332,144,82,227,267,1540
Eddie Johnson,SHOOTING GUARD,24,ATLANTA HAWKS,79,0,2622,590,1212,5,13,280,338,95,105,370,120,24,189,216,1465
George Johnson,CENTER,31,NEW JERSEY NETS,81,0,2119,248,543,0,1,89,126,192,410,173,53,258,199,312,585
George Johnson,POWER FORWARD,23,DENVER NUGGETS,75,0,1938,309,649,2,9,148,189,190,394,157,84,67,148,260,768
John Johnson,SMALL FORWARD,32,SEATTLE SUPERSONICS,81,0,2533,377,772,0,0,161,201,163,263,424,76,35,247,213,915
Magic Johnson,SHOOTING GUARD,20,LOS ANGELES LAKERS,77,0,2795,503,949,7,31,374,462,166,430,563,187,41,305,218,1387
Marques Johnson,SMALL FORWARD,23,MILWAUKEE BUCKS,77,0,2686,689,1267,2,9,291,368,217,349,273,100,70,185,173,1671
Mickey Johnson,POWER FORWARD,27,INDIANA PACERS,82,0,2647,588,1271,5,32,385,482,258,423,344,153,112,286,291,1566
Ollie Johnson,SMALL FORWARD,30,CHICAGO BULLS,79,1,1535,262,527,1,11,82,93,50,113,161,59,24,96,165,607
Vinnie Johnson,SHOOTING GUARD,23,SEATTLE SUPERSONICS,38,0,325,45,115,0,1,31,39,19,36,54,19,4,42,40,121
Bobby Jones,POWER FORWARD,28,PHILADELPHIA 76ERS,81,3,2125,398,748,0,3,257,329,152,298,146,102,118,146,223,1053
Caldwell Jones,CENTER,29,PHILADELPHIA 76ERS,80,80,2771,232,532,0,2,124,178,219,731,164,43,162,218,298,588
Dwight Jones,POWER FORWARD,27,HOUSTON ROCKETS,21,0,278,50,119,0,0,27,36,31,41,11,4,5,20,48,127
Dwight Jones,POWER FORWARD,27,CHICAGO BULLS,53,0,1170,207,387,0,0,119,165,83,213,90,24,37,102,159,533
Major Jones,POWER FORWARD,26,HOUSTON ROCKETS,82,0,1545,188,392,1,3,61,108,147,234,67,50,67,112,186,438
